ORI,Name,UCR_OFFENSE,SUB_TOC,SUB_TOC_CODE,MONTH,COUNT,Type,Description,Sub_Description
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",10,32,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,10,102,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",10,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,10,703,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,10,527,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,10,3157,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,10,434,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",10,189,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,10,69,Property,Motor Vehicle Theft,Other Vehicles
AZ0072300,Phoenix,09A,,,11,14,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,11,0,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,11,93,Violent,Rape,
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",11,100,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,11,38,Violent,Robbery,Knife
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",11,30,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,11,95,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",11,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,11,642,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,11,479,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,11,3200,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,11,409,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",11,203,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,11,65,Property,Motor Vehicle Theft,Other Vehicles
AZ0072300,Phoenix,09A,,,12,18,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,12,0,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,12,77,Violent,Rape,
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",12,89,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,12,32,Violent,Robbery,Knife
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",12,24,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,12,89,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",12,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,12,602,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,12,501,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,12,3197,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,12,415,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",12,199,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,12,61,Property,Motor Vehicle Theft,Other Vehicles
